,T,M,Vol,Size,Lev,CrashRisk
189,0,0.0,118,139,116,-13.399731139251504
190,0,0.0,147,118,144,14.916500879369664
191,1,87.75892518547086,162,133,195,21.34821990107222
192,0,0.0,185,170,122,2.5248217558317863
193,1,44.392251051945024,117,178,104,-37.82523119125784
194,1,107.87428071820395,199,169,173,16.57556034408166
195,0,0.0,151,127,199,19.347849960045917
196,0,0.0,163,133,136,13.239021548212584
197,0,0.0,144,156,154,-5.55790099861699
198,0,0.0,166,143,187,14.08228385371916
199,0,0.0,166,197,121,-22.914078635054107
200,0,0.0,100,108,133,-0.29513685195069717
201,0,0.0,111,185,137,-42.421796142057886
202,1,52.721151791819985,141,190,192,-25.654933812518898
203,0,0.0,178,183,185,-1.7815594020660885
204,1,98.43978284112868,175,138,130,18.085035681050226
205,0,0.0,112,128,110,-10.808886783602201
206,1,102.7673332597212,196,167,177,17.14219649523874
207,0,0.0,155,135,146,11.844063222944811
208,1,49.3270851821163,127,171,122,-27.10223898518271
209,0,0.0,133,190,185,-30.21355884463701
210,1,44.7105524593654,125,186,165,-33.12416821848338
211,0,0.0,138,196,151,-30.90655125831522
212,1,119.66098328541791,191,107,123,44.261575117834056
213,0,0.0,123,138,147,-6.522868774914001
214,0,0.0,113,198,139,-47.454240397419454
215,0,0.0,182,183,122,-6.4245163661897084
216,0,0.0,133,125,192,11.924065624901225
217,0,0.0,199,199,169,-3.6017234191472727
218,1,108.47733082516676,179,109,114,35.75312526130134
219,0,0.0,110,181,178,-35.00764754685471
220,1,123.37715716646056,190,100,146,48.86189167997057
221,0,0.0,120,171,194,-23.607573394877832
222,0,0.0,105,154,168,-22.154881224884697
223,0,0.0,194,162,196,19.25911116599219
224,0,0.0,141,186,172,-22.974668922367808
225,1,93.30017460728303,162,115,128,25.471739414147756
226,0,0.0,153,147,150,2.622907871809442
227,0,0.0,130,158,174,-12.490804122014712
228,1,70.51213433307205,131,114,196,15.973920598623772
229,1,66.93150006405061,126,109,101,6.927813655995885
230,0,0.0,136,166,168,-14.406627908252275
231,1,69.88175923136839,147,163,170,-6.701652301367958
232,0,0.0,106,165,152,-31.992134476510124
233,1,52.74732881980115,114,123,194,4.543291859583478
234,1,79.16330493209023,158,160,159,1.5532977604324874
235,1,49.2471595623376,131,187,182,-29.524004572054366
236,0,0.0,141,117,179,17.669884993335934
237,0,0.0,118,173,196,-25.4556129861237
238,0,0.0,134,146,104,-9.805114523464995
239,0,0.0,171,121,155,28.161971281622456
240,1,39.01981118382234,111,160,123,-28.63040817583447
241,0,0.0,163,150,125,5.719231626568883
242,0,0.0,157,167,198,-2.280249750971313
243,1,59.1222738912783,116,118,174,6.894032061637425
244,1,63.18849424180507,154,195,196,-19.616554073114887
245,1,94.406049207298,167,129,142,20.816133270540842
246,1,81.73135471995452,162,176,137,-10.799001808236335
247,1,120.0811651031273,190,102,132,48.738081948099094
248,0,0.0,175,131,118,19.02678697694837
249,0,0.0,109,187,174,-40.00780475440858
250,0,0.0,162,127,107,15.281697837320934
251,1,103.20246131988357,197,167,197,18.905081690770306
252,1,85.14246933794958,155,132,166,15.310981729321549
253,1,85.50832022672739,173,165,137,4.331324328100137
254,0,0.0,118,161,118,-25.758509373525733
255,0,0.0,171,196,125,-18.267891055708287
256,0,0.0,101,125,120,-12.031661633901972
257,0,0.0,189,197,135,-11.348997235162729
258,0,0.0,135,123,109,3.1848971968012307
259,0,0.0,147,180,115,-24.183249945850765
260,1,35.18424711113623,120,182,178,-29.680275441839825
261,0,0.0,105,124,102,-11.73895825482819
262,0,0.0,176,135,153,21.792423425128128
263,1,84.54206387161788,147,108,166,25.788780226657284
264,0,0.0,148,107,181,27.67170013908092
265,1,107.3407438939087,194,158,194,22.52608963076265
266,0,0.0,123,139,164,-3.905539446133734
267,0,0.0,188,171,113,2.5074166165147576
268,0,0.0,139,144,112,-5.848822972212693
269,1,109.23788715007625,188,136,155,29.69510479582219
270,1,43.21384134552384,108,140,139,-15.369353961651658
271,0,0.0,153,170,135,-11.310309633650132
272,0,0.0,134,117,150,13.110346623313177
273,0,0.0,157,122,125,17.60986116445414
274,1,61.30521885930054,133,148,162,-6.240118607575967
275,0,0.0,138,183,188,-20.93284439954413
276,1,52.688167121124685,116,133,101,-12.099414084389027
277,1,78.37680532447195,132,101,110,18.643837307911568
278,0,0.0,190,177,167,5.689249656403433
279,1,87.45993947125963,150,109,186,28.108395021647677
280,0,0.0,163,153,166,5.8529577304641265
281,1,34.258312967441064,102,154,165,-24.48160214219428
282,0,0.0,124,139,183,-3.0800985824380938
283,1,45.86060824841364,124,169,199,-17.938183577837442
284,1,101.09067062905721,199,192,182,3.4266629581270758
285,0,0.0,161,193,153,-19.542308614990088
286,0,0.0,112,160,119,-28.266793653227285
287,1,102.76680677097504,198,189,130,1.4242358671042594
288,0,0.0,145,122,169,16.374758514497874
289,1,102.34624919530253,171,118,181,33.187775933534525
290,0,0.0,109,117,109,-2.7347126571814937
291,0,0.0,151,168,193,-6.010122309660147
292,1,95.56712404109025,191,184,174,5.153211068870698
293,1,72.31261269756584,147,148,165,1.0883891773754888
294,1,52.48852489748731,142,193,137,-30.006394819147094
295,0,0.0,155,178,115,-19.420372079884963
296,1,45.38645917897042,121,170,163,-25.751709472011306
297,0,0.0,108,102,181,12.175743330462986
298,0,0.0,159,181,129,-16.428777311148565
299,1,58.44373452260683,129,151,143,-12.313064095099321
300,0,0.0,194,180,150,3.5900697838947773
301,1,88.86095556034137,162,135,112,11.479161003306297
302,0,0.0,138,167,117,-20.69620826613646
303,1,129.6699282939053,197,102,199,59.50221609637747
304,0,0.0,181,115,182,39.18650961570155
305,0,0.0,102,187,104,-50.562695851263996
306,0,0.0,171,161,191,5.478877738639581
307,1,74.1835857526248,146,151,133,-4.326813133203736
308,0,0.0,121,112,171,11.74470836314155
309,0,0.0,174,178,199,1.676681073729916
310,0,0.0,156,119,167,21.98055060029187
311,1,82.95653320749622,174,176,124,-5.463617354698565
312,1,79.73094689056231,163,178,146,-9.313498600583484
313,0,0.0,101,142,154,-19.821164681420353
314,1,66.62685212888474,157,185,108,-19.77786003139349
315,0,0.0,138,159,123,-14.579273071153592
316,1,82.30454227199218,170,182,134,-11.30753980097741
317,1,45.14719216898886,115,152,158,-16.70025949318034
318,0,0.0,168,165,178,1.6526714445531447
319,1,36.99415064288337,107,160,113,-29.884033488562448
320,1,55.400502239022856,124,148,117,-13.826596572633836
321,1,91.98517606137989,169,137,133,14.186279930120753
322,1,98.51032502312357,166,130,175,23.07887378701184
323,0,0.0,194,125,166,38.57647572933938
324,1,106.51333117072502,188,148,119,19.465897863953497
325,1,116.67844421927884,196,137,199,36.498937782871096
326,0,0.0,181,141,118,18.50536721824832
327,0,0.0,124,128,197,3.986270074501673
328,1,96.21985889091694,164,111,175,34.122985567245124
329,1,55.40948817151711,141,181,169,-23.030885855269702
330,1,103.87740758684336,194,169,124,9.483922824208463
331,0,0.0,105,199,164,-51.388852502422324
332,0,0.0,169,111,143,31.187513324171547
333,0,0.0,114,194,114,-49.017271679700414
334,1,92.0372173949138,163,130,170,21.72333912494118
335,0,0.0,189,178,126,0.08443230357836615
336,0,0.0,170,181,191,-4.689579765515591
337,0,0.0,181,148,137,16.318869423457755
338,0,0.0,164,142,102,6.379858435631275
339,0,0.0,148,132,106,5.752116884273902
340,1,80.52059767142794,177,199,154,-14.123920841456975
341,0,0.0,136,128,174,6.9081537132406705
342,1,108.68552311375232,178,109,154,39.20710018881077
343,0,0.0,125,199,126,-43.60339979750069
344,1,79.99253753035762,170,195,173,-13.943035716764207
345,1,45.308560446507464,113,146,172,-13.800017036351115
346,1,96.45254872532176,163,118,180,27.745346017531695
347,0,0.0,191,121,138,35.54185169826071
348,1,99.07086875062797,193,178,103,0.7161077888296902
349,0,0.0,150,104,199,32.78187055399794
350,0,0.0,154,100,124,30.67566208024103
351,0,0.0,140,189,197,-23.74073306566029
352,1,104.09607369621531,177,118,129,30.529118267794587
353,0,0.0,143,111,108,14.692628926895484
354,1,97.44744063081689,174,139,107,14.927833649275986
355,0,0.0,136,133,113,-0.42475656125395267
356,1,81.81364492772528,138,100,169,27.226274005899654
357,0,0.0,121,152,195,-11.479696674194548
358,1,61.640865939946025,148,186,172,-18.89575591167896
359,0,0.0,139,167,198,-12.165772095536374
360,1,105.25645263027376,191,163,195,17.247355708261168
361,0,0.0,146,120,180,20.72795754433385
362,1,74.98144034369716,142,125,173,16.93931780993958
363,1,83.76631507384948,164,167,184,1.7686454468211623
364,1,85.78603348363276,176,176,124,-3.374081651324068
365,0,0.0,190,197,114,-12.726273588624725
366,1,87.12373525638738,185,196,174,-4.9857709413601725
367,1,75.55257192525423,161,174,109,-12.817926839162968
368,1,57.2821369128657,142,183,153,-22.71599465391218
369,1,95.64871460705373,182,167,105,1.0840315050943339
370,1,103.85505058708682,196,180,126,3.132308203918412
371,1,98.86326766753568,195,197,153,-4.348485800772729
372,0,0.0,131,179,183,-24.747180490239924
373,0,0.0,140,154,123,-10.222807539552633
374,0,0.0,138,182,193,-20.442875785451918
375,0,0.0,191,140,173,28.487589406787027
376,0,0.0,177,110,113,35.09972749775591
377,1,118.57207150985944,188,107,127,42.98954404310658
378,0,0.0,162,169,139,-6.445464977266804
379,1,93.66374891968418,179,166,128,3.9872690407514124
380,0,0.0,106,144,146,-18.543020343032204
381,0,0.0,148,111,166,22.78464775570884
382,0,0.0,184,123,115,30.19131333503405
383,1,55.938071754019646,138,180,129,-23.51138867289423
384,1,74.74124202100148,154,157,171,-0.45340095071302344
385,1,90.34339257602849,174,166,192,6.746513723547181
386,0,0.0,116,107,192,11.956094954187417
387,0,0.0,131,110,112,11.224175076177808
388,0,0.0,150,102,198,34.23810366910138
389,0,0.0,193,181,141,0.7336284817542604
390,0,0.0,112,123,186,0.46092701066441844
391,1,111.85850308288381,199,154,175,25.136286159078985
392,0,0.0,106,179,132,-39.6843869489557
393,0,0.0,195,110,109,41.397374724289406
394,0,0.0,175,136,156,21.54051379245549
395,1,89.01594038115662,173,162,122,1.7353964558827517
396,1,61.28131331186343,127,142,171,-4.236689048924048
397,1,67.97457047934199,157,195,107,-28.30257244907219
398,0,0.0,109,114,198,3.8073026639239327
399,0,0.0,141,152,174,-3.5232096340651275
400,0,0.0,133,162,189,-11.808484943271672
401,0,0.0,112,110,154,4.602442353511552
402,1,104.05600714027055,181,144,111,15.322067668592107
403,0,0.0,149,191,174,-22.704365421455588
404,0,0.0,199,182,116,2.8732206045533104
405,0,0.0,139,181,170,-22.389572534903685
406,0,0.0,109,134,153,-10.913539009410243
407,1,67.65957117312958,126,110,194,16.5211633959995
408,0,0.0,126,161,181,-15.78649032433732
409,0,0.0,169,135,133,16.65943807608505
410,0,0.0,110,113,170,3.4989477419885047
411,0,0.0,103,139,105,-20.097624263087692
412,1,77.83645829759956,154,161,145,-3.444257489471906
413,1,72.16206934315777,156,188,114,-22.631504147829705
414,0,0.0,162,100,176,38.190156573620584
415,0,0.0,111,199,173,-47.15285405734673
416,0,0.0,106,162,167,-26.30204694578945
417,1,92.03268810220492,188,191,174,-1.1731557273161426
418,1,54.597429512123064,139,197,195,-28.562568963276593
419,0,0.0,123,134,159,-3.7168613463384483
420,0,0.0,124,130,156,-1.5111128381004715
421,1,71.09385537306984,152,169,112,-15.285054476720152
422,0,0.0,187,125,173,35.259796478730614
423,0,0.0,182,134,171,28.94437210329852
424,1,86.68141057802075,179,190,152,-8.897780732502122
425,0,0.0,184,187,164,-3.205028047414545
426,1,125.4730748106604,194,108,102,42.931207266494255
427,1,64.05365484126139,132,137,188,3.6860886279038705
428,1,64.22551832116432,154,192,114,-25.864799753260442
429,1,98.20327508829065,182,159,177,13.580061597042649
430,0,0.0,177,103,113,37.253691299482675
431,0,0.0,114,101,139,9.658004347483699
432,0,0.0,171,192,101,-19.346925805401767
433,1,48.15979453699573,110,138,158,-12.354995474815247
434,0,0.0,167,186,116,-18.61855388580132
435,0,0.0,192,146,120,22.08847316809146
436,1,84.48217919477078,181,199,125,-15.261131581372844
437,1,95.76355855388353,191,188,104,-6.277089346261919
438,1,73.07274121354145,153,163,116,-10.705212532655946
439,0,0.0,198,150,166,25.358375812601114
440,0,0.0,121,145,134,-11.46068530623262
441,0,0.0,162,118,164,27.669261439823163
442,0,0.0,193,142,152,24.60878024121194
443,1,66.75767655409756,128,116,173,13.147459718443711
444,0,0.0,182,175,178,3.6477519640536125
445,1,82.83873725693162,159,152,184,8.18356432985292
446,1,85.56223071975106,174,172,146,0.4628936507094745
447,0,0.0,128,149,167,-8.46581863014025
448,1,53.076200164313406,134,179,104,-28.772810768806632
449,0,0.0,125,143,126,-9.932964328536958
450,0,0.0,182,186,186,-1.584580141877829
451,1,56.97346500012497,125,145,142,-10.722698811021097
452,0,0.0,173,105,102,34.74212993439083
453,0,0.0,156,150,123,-0.6323653615383455
454,0,0.0,120,109,180,11.455558717255109
455,1,58.34062094940448,131,161,101,-21.098124521841708
456,1,102.88152976683325,197,193,103,-7.522988136571454
457,0,0.0,104,156,105,-30.95063853386196
458,0,0.0,134,165,153,-16.593814889159958
459,0,0.0,109,103,128,3.252053262093511
460,0,0.0,176,110,180,39.63183204925977
461,0,0.0,192,152,159,21.420042960929347
462,1,42.00055468404783,125,196,179,-34.71510653462412
463,0,0.0,131,106,146,15.654449446427922
464,1,109.59171044952956,191,134,110,27.897190613965755
465,1,91.77646347571672,156,106,135,28.064820528528088
466,1,57.626854310870016,112,119,100,-3.9809145158492654
467,0,0.0,108,174,177,-33.86185212328074
468,1,65.51240368865763,135,134,141,0.944866850470405
469,1,104.44215418689069,192,175,146,7.3074990766701395
470,1,128.5334909746146,199,112,184,52.81886414652328
471,0,0.0,122,103,166,15.356062977194636
472,0,0.0,131,162,160,-17.359030842791906
473,0,0.0,137,196,103,-39.75652316031806
474,1,86.48967602353893,166,152,149,7.542319025168439
475,0,0.0,183,159,111,7.21940929035669
476,1,69.6321678051199,129,109,155,16.489447920906937
477,1,97.90115624495449,168,120,121,25.87828112335534
478,0,0.0,183,195,101,-15.912239550285124
479,1,103.19575093891204,179,139,159,21.888369058873366
480,0,0.0,115,136,109,-14.795493777649002
481,0,0.0,183,159,123,9.437660021969828
482,0,0.0,118,192,110,-45.5479727133521
483,1,39.45977647122404,124,199,109,-45.76434780939818
484,1,78.1309694912189,153,152,133,-0.7560000722354318
485,1,70.30237526626281,130,103,166,20.141901425757585
486,1,79.54978154402585,169,186,165,-11.54597344611147
487,0,0.0,145,198,130,-34.413063243118074
488,1,45.450522291476744,110,142,126,-16.545087353066677
489,0,0.0,131,184,170,-27.419077882544958
490,1,58.26329026881491,134,164,168,-14.61333309406165
491,1,81.95278218705413,173,184,113,-12.00704170163824
492,0,0.0,157,188,134,-21.135566995658156
493,1,86.6194660916477,171,163,196,7.5785383201242
494,1,97.70338384467323,197,195,197,0.45165837548555543
495,0,0.0,141,196,189,-28.01088715339503
496,0,0.0,165,179,150,-9.42065942917358
497,0,0.0,145,166,188,-7.316203517450545
498,1,70.48060097576722,140,139,173,5.160144386511007
499,0,0.0,152,156,124,-6.582508811871753
500,0,0.0,129,173,145,-25.711911398246336
501,1,63.859273416773036,146,170,138,-15.508299256973991
502,0,0.0,103,181,186,-39.042223355447696
503,1,94.30152806519125,161,106,199,37.68989859129116
504,1,122.34465500410093,199,122,196,45.91962006382222
505,0,0.0,124,132,181,1.8423484735744236
506,0,0.0,129,190,101,-39.87910238536826
507,1,40.60066589345041,112,175,188,-28.956315562794337
508,1,75.65422396057068,133,102,167,22.603649693941303
509,0,0.0,106,125,175,-5.55442101848139
510,1,23.329926265451185,104,182,145,-42.62360696310065
511,1,67.87782136033978,161,194,185,-17.349475446222264
512,1,54.181352060271095,113,121,161,1.3281969727433462
513,0,0.0,144,193,104,-32.72448393029901
514,1,88.55763636661054,176,161,152,5.969275966219869
515,1,91.39361703814899,171,166,188,5.630742174068156
516,0,0.0,107,148,119,-22.279258547964766
517,0,0.0,158,167,171,-2.360507897679617
518,0,0.0,179,191,135,-11.184520509242187
519,1,64.4803144976811,154,194,137,-25.96010836905843
520,0,0.0,194,142,102,21.126824505486884
521,0,0.0,108,194,179,-44.69709182780325
522,1,52.231554948425654,108,128,177,-3.076848637456333
523,1,82.06809198063816,168,165,145,-0.4423979357126552
524,1,86.94303509929081,177,192,129,-13.402523983450124
525,1,73.9445052619928,139,131,196,10.48705249473582
526,0,0.0,159,158,162,-1.4189956415008997
527,0,0.0,102,173,154,-34.84097009036626
528,0,0.0,185,153,144,15.76358842192397
529,1,56.297970886060845,105,103,142,5.915880208813873
530,1,107.96050613530849,178,120,102,27.495156927388244
531,0,0.0,197,100,162,54.95849642256911
532,1,64.10466022078843,126,122,152,4.663842949810192
533,1,88.66363583574024,177,184,118,-9.396207930703552
534,0,0.0,174,129,161,24.567037290082702
535,1,55.68715223224879,130,162,177,-15.368383089971802
536,1,81.62913619225957,160,156,150,0.7289760041132312
537,1,103.16680022316436,172,113,118,30.361896020066908
538,0,0.0,172,114,194,35.37691308602894
539,0,0.0,117,141,181,-7.570029859270337
540,0,0.0,118,136,173,-4.988174735722536
541,1,49.11600120459753,106,114,198,5.23464539301237
542,1,113.00178384369256,187,125,114,31.19588041822773
543,0,0.0,164,182,152,-11.98196819314567
544,1,74.8572789125801,145,143,167,4.3472514410255085
545,1,42.16329182679224,100,124,143,-11.749449228200298
546,0,0.0,141,184,110,-26.804896533253878
547,1,31.04499252964807,103,169,199,-30.495035554779918
548,1,66.57340995451051,118,103,179,15.636524852783362
549,0,0.0,195,176,186,10.956937106535328
550,0,0.0,150,134,136,6.7353000045869535
551,1,48.06537011145597,115,144,131,-17.05707307891894
552,0,0.0,105,121,102,-9.015910267427683
553,0,0.0,155,169,160,-7.559643776146591
554,0,0.0,101,194,175,-48.24156558113652
555,0,0.0,136,137,172,2.456393132819133
556,1,74.39850160020814,144,137,159,7.403365185404584
557,1,38.56631129800366,109,165,114,-35.7325044188777
558,0,0.0,180,114,172,39.191553033289175
559,0,0.0,137,189,170,-27.71457974740953
560,1,56.85227905601925,118,140,141,-9.823525555908034
561,1,90.23391514419649,184,189,155,-5.041130426837881
562,1,63.50509613618222,144,187,137,-27.408620542466778
563,1,96.54202798546332,181,155,152,13.016839105061107
564,1,94.2826064680716,181,163,191,10.989263487268289
565,0,0.0,156,125,195,22.892381499734526
566,1,29.924877403188784,101,167,192,-29.801066239303502
567,0,0.0,170,118,190,34.1682737237644
